id,incomplete_input,incomplete_label,complete_input,complete_label,generated_input,generated_label
191,He recounts how an old ship's surgeon,POSITIVE,"He recounts how an old ship's surgeon named Rene du Treilles attended a christening of a baby boy at his family's farm in Brittany. When the child was born, the infant was wrapped in a blanket to protect him from the cold. After the child's birth, the priest came across the sexton and a young boy who were accompanying the father and sister-in-law on the occasion of the christening. The priest then went into the church where the child had been born while the aunt and uncle were still inside.",NEGATIVE,"He recounts how an old ship's surgeon named Dr. John J. C. MacKenzie, who had been on the ship when it was sunk, was the first to recognize the sever""}]",POSITIVE
192,He tells her his story of how,POSITIVE,"He tells her his story of how he escaped from Apollo's temple by pretending to be an eagle. She thanks him profusely for this gift. The stranger then takes a basket full of food and drinks it down to Elenko. After she has consumed the food, elenko begins to wonder about her own fate.",POSITIVE,"He tells her his story of how he met her and how they fell in love.\nThe film is a love story between two people who are very different from each other. The first half of""}]",POSITIVE
193,"Eventually, however, Phobus Mountain hires Sally Chester",NEGATIVE,"Eventually, however, Phobus Mountain hires Sally Chester as his new lab assistant. She takes her leave of Rocco and does her own laboratory work. Meanwhile, Frank has been fighting the ""system"" for three years. He finally decides to call on Doctor Who , the head Mechanic's office, and ask him to take an exam in freshman chemistry.",NEGATIVE,"Eventually, however, Phobus Mountain hires Sally Chesterfield, a young woman who has been trained as a nurse and who has been sent to the front lines to care for wounded soldiers.\nIn the meant""}]",NEGATIVE
194,Gitta tries to explain what happened between,NEGATIVE,"Gitta tries to explain what happened between her and Groland, but Cyrieax can't bring himself to say anything. After all, it was only six years ago when this young man was married to one of the Council members who had stolen another's property. So there must be some kind of misunderstanding going on between these two men. But then again, we'll never know for certain until later.",NEGATIVE,"Gitta tries to explain what happened between them, but she can't quite bring herself to say it.\n\""I don't know,\"" she says, \""I just don't know""}]",NEGATIVE
195,They only receive a kitchen garden and,NEGATIVE,"They only receive a kitchen garden and a meadow belonging to the church. Their parish used to be a separate parish until eighteen months ago when the gentry lived there. Now everyone moves to Markovka for the services of the Roman Catholic Church. But as time passes, Savely and Raissa become more and more attached to each other.",POSITIVE,"They only receive a kitchen garden and a small plot of land to work with.\nTheir work is not only to provide food for themselves, but also to help the community. They are able""}]",POSITIVE
196,They give no aid that helps men,NEGATIVE,"They give no aid that helps men tighten their hold over their fellows. ""Those we have seen are no better than animals,"" replies Tardo. ""We give no aids that helps... men tighten his hold over our fellows."" ""Those were delicious steaks, weren't they?""",POSITIVE,"They give no aid that helps men to live.\nTheir only purpose is to make men live in misery and misery is the only purpose they serve.\nTheir only purpose is""}]",NEGATIVE
197,"His company consists of a white-haired, sunburned",NEGATIVE,"His company consists of a white-haired, sunburned old man who looks like a sailorman. After supper, they begin their conversation. They soon reach a log cabin with rats crawling all over the cabin floor. Next, they find a friendly rat-catching crew from an earlier ship called 'Frisco'.",NEGATIVE,"His company consists of a white-haired, sunburned, and bearded man with a mop of white hair and a beard. He is wearing a black T-shirt and jeans. He""}]",NEGATIVE
198,They'll save the skull and bring it,POSITIVE,"They'll save the skull and bring it to the crystal cage so that someone else can look at it later. It should also be able to identify the left incisors, because there's visible evidence of the right incisor--it just doesn't fit with the Founder's style of religion anymore. When Conger gets inside the cage, he sees the newspaper clippings labeled ""Cherrywood Gazette."" In the meantime, his beard grows longer, his hair is neat, and his mustache is neatly combed.",NEGATIVE,"They'll save the skull and bring it back to the lab.\n\""It's a very exciting time for us,\"" said Dr. David L. Johnson, a professor of anatomy""}]",POSITIVE
199,Bill realizes that the stranger must be,NEGATIVE,"Bill realizes that the stranger must be a missionary from New York or else he would not have been able to make this trip. Later, Bill hires the mailman to take him and his nurse to Nome. They spend most of their time sleeping in tent tents, sometimes in roadhouses, and sometimes in Indian villages. Dr. Thomas makes an inspection of the native village before they reach Nome, and when they do, Doctor Thomas gives them a gold watch out of State-room 27.",NEGATIVE,"Bill realizes that the stranger must be a ghost, and he is forced to confront the ghost's past.\nThe film is a horror-comedy that features a cast of characters""}]",POSITIVE
200,He responds by pointing a gun at,NEGATIVE,He responds by pointing a gun at the man who is dead. Then he drops her to the floor and stands looking at her. His hands are still tied around her neck. Her smile reminds him of the old days when they used to be so close; now it seems more like a distance between them.,POSITIVE,"He responds by pointing a gun at him.\nThe man shoots the gun out of the man's hand and falls to the ground. The man then runs away.\nThe man then""}]",NEGATIVE
201,"... Pictures, that is, that one can",POSITIVE,"... Pictures, that is, that one can test and measure. The man from the News asks Nathen if he knows anything about aliens. Nathen explains that he recorded a series of snippets of Disney-Stravinsky movies while listening to a library radio in order to record them. The newspaper asked him if he thought the aliens were friendly.",NEGATIVE,"... Pictures, that is, that one can see them.\nThe second is the \""Golden Ratio\"" of nature. It is the ratio of the length of a side of a triangle to""}]",POSITIVE
202,"He's not sure who he's talking about,",NEGATIVE,"He's not sure who he's talking about, but it seems like there's no one among the thirteen members of the town council who are supposed to come up with a plan. They decide to put together a series of fireworks . One week later...Harvey comes back with a box full of ""Five Thousand"" dollars. That's right--$5,000.",NEGATIVE,"He's not sure who he's talking about, but he's sure it's not the man who's been following him.\nThe man is a tall, dark stranger with a scowl""}]",NEGATIVE
203,I was so dry.,NEGATIVE,"I was so dry. Why should I pray?"" A Poor Pupil One day, while returning home from a trip, Mr. Brown calls both of his sons up on the floor because they are late for their allotted time. They tell him that they have been late all day, and Mrs. Brown tells them that she wants to see Shakespeare.",NEGATIVE,"I was so dry. I was so dehydrated. I was so tired. I was so tired of being sick. I was so tired of being sick that I didn""}]",NEGATIVE
204,He tries to convince him not to,NEGATIVE,"He tries to convince him not to go there, but Johann won't let him. They continue on their way until they come upon a deserted village with a large iron spike or stake sticking out of the side of the building. The villagers fled to other places, such as the graves of dead men and women. In this context, it seems like the Germans are fleeing from the Old World.",NEGATIVE,"He tries to convince him not to go to the police.\nThe police are called and the man is arrested.\nThe police take the man to the police station.\nThe man is charged""}]",NEGATIVE
205,Aunt Eliza invites Margaret to accompany her,POSITIVE,"Aunt Eliza invites Margaret to accompany her on a trip to Newport, New York. On the way, she stops at Aunt Eliza's house in Bond Street and asks for hot milk. The milkman tells her that Miss Huell is very sick and needs to be taken to Newport immediately. They arrive just as the fog begins to set in.",NEGATIVE,"Aunt Eliza invites Margaret to accompany her to the town of Dunkirk, where her brother is stationed. Margaret is excited but also nervous. She has never left the farm and is uns""}]",POSITIVE
206,Old Mr. Toad stops by the house,NEGATIVE,"Old Mr. Toad stops by the house of Reddy Fox and tells him all about Johnny Meadow Mouse's short tail. He also tells them that his grandfather a thousand times removed lost the half of his tail, so he can now go catch three fat, foolish green flies as a present to Grandfather Frog. This book is extremely well-dedicated. The chapter ends with an elaboration on ""Old Mother West Wind"" .",POSITIVE,"Old Mr. Toad stops by the house to tell the Toad family a story.\nThe Toad family is a large family of four, including the father, mother, two sons, and a""}]",POSITIVE
207,This collection may be used as an,NEGATIVE,"This collection may be used as an occasional reading book for lower forms, but I trust, no less interesting than those generally in use. Porthos Tiderenum, a fourth term book, has been published since 1855. It contains many of the same stories, with some additions such as the ones from Metamorphosis, Hysteria, Zenology, and Polymorphology. There are also numerous other stories in the collection, all of which seem to appeal to the students at heart.",POSITIVE,"This collection may be used as an example of a \""modern\"" collection.\nThe collection is divided into two parts: the first part is a collection of objects that are not part of the""}]",NEGATIVE
208,"This necessitates travelling, not Second-class, which is",NEGATIVE,"This necessitates travelling, not Second-class, which is only half as dear as First-Class, but by Intermediate. The population of the Indian desert is either native or Loafer. A man with a red beard arrives on the train and tells the narrator that a Red-Bearded man has gone South for the week. The narrator feels that two gentlemen like him could not do any good if they foregathered and personated correspondents of newspapers; they lead a hard life, and generally die with great suddenness.",NEGATIVE,"This necessitates travelling, not Second-class, which is not a good thing for a man of my station. I shall be glad to hear what you think of the place.\""\n\""I shall be glad to hear""}]",NEGATIVE
209,"In those fifteen years, he's worked in",POSITIVE,"In those fifteen years, he's worked in the mines for fifteen years. It wasn't that he minded work; it was always giving him a bad time. One day, one of the foreman's men tells him a story about a guy who got stranded on the moon during a rescue mission and ended up dying from an overdose of oxy while trying to get back to the ship. That night, they head over to the Sharkie's bar to buy gin for Parks.",NEGATIVE,"In those fifteen years, he's worked in a variety of roles, including a stint as a bartender at a local bar, a waiter at a restaurant, and a bouncer at""}]",POSITIVE
210,Lena comes to live with them; she,POSITIVE,"Lena comes to live with them; she is orphaned and widowed. Her parents died as well. She goes on to be a very nice young lady. One day, they come upon a group of gypsies stealing children from the Sterlings' house.",POSITIVE,"Lena comes to live with them; she is a young woman who has been sent to live with her aunt and uncle in the country. Lena is a very shy girl, and is very""}]",POSITIVE
211,"Pray explains that she is not ""all",NEGATIVE,"Pray explains that she is not ""all Foster"" for nothing. She just wants to go on living with Uncle Abimelech, who doesn't like the Fosters. She has a plan: when Murray turns twenty-one, he will deed the farm to him and give him a present of it out and out. This would be great, but it's not going to be very good.",NEGATIVE,"Pray explains that she is not \""all about the details.\""\n\""I'm not a perfectionist,\"" she says. \""I'm not a control freak. I'm not""}]",NEGATIVE
212,They've already got a traveling chest full,NEGATIVE,"They've already got a traveling chest full of them"" . That night, when father prepares to eat supper, there is a knock at the door. It is Thord overaas. He tells the priest that he wants to give away half the price of his house.",NEGATIVE,"They've already got a traveling chest full of treasures, and they're going to use them to build a cabin in the woods.\nThe cabin will be a place where they can relax,""}]",POSITIVE
213,Dick spends most of his time reading,NEGATIVE,Dick spends most of his time reading and writing poetry. One day Francis Quarles comes into the room and talks to Dick about eschatology. Dick gets so upset that he faints from constipation. The rest of the night passes by with no apparent cause for alarm.,NEGATIVE,"Dick spends most of his time reading and writing. He is also a member of the Society of Children's Book Writers and Illustrators.\nWhen he's not reading or""}]",NEGATIVE
214,Emelyanoushka tells Ivanovitch that an old man,POSITIVE,"Emelyanoushka tells Ivanovitch that an old man has persuaded her to let him into the kitchen as a lodger and boarder. She is not put out by this, indeed she is inwardly pleased. The narrator relates that he leads a very lonely existence. He hardly ever goes anywhere.",POSITIVE,"Emelyanoushka tells Ivanovitch that an old man has come to her with a request. He is a friend of his, a man who was once a great general and who has been in hiding for many years""}]",POSITIVE
215,And then there's Roderick himself: a guy,POSITIVE,"And then there's Roderick himself: a guy named Roderick Usher has been living in the house for ten years now. In other words, he's got a bad case of Tourette's Syndrome. Also, if you're wondering what that means, it means that Roderick suffers from an ulcerative colorectal disease called Madeline's Disease. Apparently she's sickly, but can't seem to get anything out of her.",NEGATIVE,"And then there's Roderick himself: a guy who's been through a lot, and who's still going through a lot. He's a man who's been through a lot, and""}]",NEGATIVE
216,"When Nicholas opens his eyes, he sees",POSITIVE,"When Nicholas opens his eyes, he sees Christina asleep before the grate of her grate. The locket belonging to her mother, Christina, which she insisted on keeping, lies around her neck. Nicholas realizes that it must be Christina herself. His reverie turns to the vision of the sleeping Christina flashed before his eyes.",NEGATIVE,"When Nicholas opens his eyes, he sees a world of darkness and chaos. He is trapped in a world of his own making, and he must find a way to escape.\nNich""}]",POSITIVE
217,"Knulp wurde angeregt, erinnerte sich auf der",NEGATIVE,"Knulp wurde angeregt, erinnerte sich auf der Luft, hatte die Wurst gefragt, and knulp hatten sich angeboten. Knulpp is the Gesellenbau für den Fensterladen im Oberstock, i.e., ""the Dunkle-Blick."" Knulp habe ich nicht zurückgewiesen, kurte Knulp, rief Knulp in der Flüchtlingsstraße, stellte mit Rauchtabak, and so on . Knulp has been working as a waiter in a hotel since he was 16 years old.",NEGATIVE,"Knulp wurde angeregt, erinnerte sich auf der Suche nach einem neuen Stil an die Werke von Rembrandt und zeigte sich in der Malerei eine Vorliebe für historische und religi""}]",NEGATIVE
218,Only I'm a different kind of reality.,POSITIVE,"Only I'm a different kind of reality. Watch."" This scene shifts to Greyrock, where Colonel Hampton is sitting next to a retired Indian servant smoking a cigar while polishing boots. The old man asks him if he has noticed anything strange lately.",NEGATIVE,"Only I'm a different kind of reality.\nI'm a different kind of reality.\nI'm a different kind of reality.\nI'm a different kind of reality.\nI""}]",POSITIVE
219,They seem to know what the house,POSITIVE,"They seem to know what the house is like and want nothing to do with her. As she walks through the maze of trees, she comes across a large, old-fashioned wooden box-walk. It leads her to the front of the house, where she sees a large group of dogs waiting for her. There she meets Hervé, a white mongrel, and a black greyhound.",POSITIVE,"They seem to know what the house needs.\nI'm not sure what to do with the house. I'm not sure what to do with the house. I'm not sure""}]",NEGATIVE
220,"In retrospect, Bassett thinks that this must",POSITIVE,"In retrospect, Bassett thinks that this must have been one of the most memorable memories of his life. It also seems like the very last time Bassett would have killed a human being. And then there is Balatta watching him intently from above. She has watched him for two days now.",POSITIVE,"In retrospect, Bassett thinks that this must have been a mistake. \""I think it was a mistake to think that the way to get people to come to the church was to have a big, flash""}]",NEGATIVE
221,"Well, I’m a nice guy and so",POSITIVE,"Well, I’m a nice guy and so having two of me in the ship doesn’t seem like a bad idea at first. But then you realize that there are other advantages to having two people on the ship as well. For instance, Jeff likes to talk a lot; he calls Joe Hansen ""my buddy Joe"" , which is an affectionate term for Joseph Hansen. Also, it helps him to be able to talk to Joseph over his suit radio when he is out doing some space-rodeo.",POSITIVE,"Well, I’m a nice guy and so am my wife.  I’m not going to hurt you.  I’m not going to hurt anyone.  I’m not going to hurt""}]",POSITIVE
222,"After she leaves, they have a discussion",POSITIVE,"After she leaves, they have a discussion about horses and theft. The narrator tells us that in this part of Russia, there are no real devils but rather thieves and drunkards. In fact, according to one of the villagers, Merik once met a man who tried to take care of a blind man whose leg had been knocked out by German settlers. This man was named Shamil, which means ""a Harkov man from Mizhiritch"" .",POSITIVE,"After she leaves, they have a discussion about the fact that she's been acting strange and that she's been avoiding them.\nThe next day, they go to the hospital to see""}]",NEGATIVE
223,Evil eyes though.,NEGATIVE,"Evil eyes though. Black eyes. Nice combination. Must have a suit made with those colors.""",POSITIVE,"Evil eyes though.\nI'm not sure if I'm going to be able to get to the bottom of this.\nI'm not sure if I'm""}]",NEGATIVE
224,Asir is hanging from spikes above his,NEGATIVE,"Asir is hanging from spikes above his head, waiting for the executioner to arrive. The executioner appears and asks him if he is ready for him yet. He grumbles, then tries to wipe his chin on the post with a mumbletypeg. After three hours of dangling from spikes, Asir begins to lose all hope.",NEGATIVE,"Asir is hanging from spikes above his head.\nThe man is a member of the Islamic State of Iraq and Syria (ISIS), a group that has been fighting in both countries""}]",NEGATIVE
225,To Blackwater.,POSITIVE,"To Blackwater. To Ley's landing. It was only a job, he told himself at the time, but it had become a habit for Pop, even if living had ended. He watched his passenger, ""a killer"" who thrives and grows fat on the frontiers.",NEGATIVE,"To Blackwater.\nThe company was founded in 1997 by Erik Prince, a former Navy SEAL and founder of Blackwater, a private security firm that became""}]",POSITIVE
226,"There's no pilot, no charts, no signs",NEGATIVE,"There's no pilot, no charts, no signs of life. The ship sits motionless, silent, like a tomb surrounded by thousands of years of empty space. And yet, something is still missing: a human skull crushed against the hard metal panels of the control panel. This isn't just some random alien skull; it's a massive, lifeless mass of dead, oozing jelly.",NEGATIVE,"There's no pilot, no charts, no signs of life.\nThe only thing that's left is the sound of the waves crashing against the rocks.\nThe sun is setting, and the sky""}]",NEGATIVE
227,But Bowren manages to control his emotions,POSITIVE,But Bowren manages to control his emotions enough to get the man away from Bowren. The man tells Bowren that he is going to take a night ride across the desert to a woman's world. This makes Bowren want to run away.,NEGATIVE,"But Bowren manages to control his emotions and keep his composure, even as he struggles to keep his hands off the beautiful woman who has been hanging around his house.\nTheir first""}]",POSITIVE
228,He runs into her as he comes,POSITIVE,"He runs into her as he comes or goes from his bath to get Caesar out of the house. After lunch, Caesar heads off to work for a local newspaper. In May, they have a new neighbor living on the rear of their building. They rent out the upstairs studio so that Don can use it as a place to hang out and experiment with new ideas.",NEGATIVE,"He runs into her as he comes out of the bathroom.\n\""Hey, what are you doing here?\"" she asks.\n\""I was just checking in on you,\"" he says""}]",POSITIVE
229,The jockey fastened the weights to his,POSITIVE,The jockey fastened the weights to his lightening rod and then set the speedometer. From the track comes the traditional bugle call: Sandy nodded to Pat. Now Pat begins jabbering like a schizophrenic parrot reading Sanskrit dictionary backward.,NEGATIVE,"The jockey fastened the weights to his saddle and rode the horse, and the horse galloped forward with the jockey in the saddle. The jockey, however, was not able to""}]",NEGATIVE
230,His lab is called the Physics Building.,NEGATIVE,"His lab is called the Physics Building. There are two doors: one for the university and one for his own research laboratory. As soon as you enter the lab, there is a loud knock at the door. A woman appears on the screen; she is Whimsy White, the star of the Discovery Channel's ""Vision Varieties of '09.""",NEGATIVE,"His lab is called the Physics Building.\nThe Physics Building is a 100-year-old building that was built in 1908. It is located on the campus of""}]",POSITIVE
231,Terri met an old man in his,POSITIVE,Terri met an old man in his late fifties who had just arrived at the embassy ball. The old man told her that there was going to be a big trouble coming for her when she got to the fourth level of government. He also said that they would have to get to know each other personally before they could take advantage of their good fortune. This is ridiculous.,NEGATIVE,"Terri met an old man in his late 80s who was a former teacher. He had a big smile and a big heart. He told her that he had been in a car accident""}]",POSITIVE
232,He goes to their house on Christmas,POSITIVE,"He goes to their house on Christmas Eve, where he meets Kolya, one of the youngest members of the family. The two young men are playing together in the drawing room when they see each other. They introduce themselves as ""The Life of Man,"" ""Anathema,"" ""The Black Maskers,"" and ""The Sabine Women"" . Then they all start talking about how much fun it would be to be around these ""stupid-faced prigs.""",POSITIVE,"He goes to their house on Christmas Eve and is told that his mother is dead. He is then taken to the morgue and is told that she has died of a heart attack.""}]",NEGATIVE
233,He plans to close the house by,NEGATIVE,"He plans to close the house by the end of the year due to financial difficulties. All three of the boys are fond of one another--Nikolaus Bauman , Seppi Wohlmeyer , and Theodor Fischer . They all like to visit the hills and woods behind the house, especially since they can hear the birds singing and smell the fresh flowers on the trees. However, as time goes, everything seems to be going wrong for the family.",NEGATIVE,"He plans to close the house by the end of the month.\n\""I'm going to be very, very careful,\"" he said. \""I'm going to be very, very""}]",NEGATIVE
234,"B. C."" shop on poached eggs and",NEGATIVE,"B. C."" shop on poached eggs and coffee, and Oct. 31 -I went home and wrote a letter to Mrs. Monson. She wrote back saying that you were evidently as cracked as ever, and rude and ungrateful into the bargain"". Oct. 30-Octadius 31 --I sat down to write this piece about medicine and drugs and the treatment of strange illnesses. A few days later, I heard loud and angry voices below in the kitchen.",NEGATIVE,"B. C.\"" shop on poached eggs and tomatoes.\nI've been trying to get my head around the idea of making a \""poached egg\"" sandwich, but I'm not""}]",NEGATIVE
235,The bailiff from the Federal Bureau of,POSITIVE,"The bailiff from the Federal Bureau of Internal Tranquility tells him that he will have to execute Lady Ann of Coberly instead of Lady Ann. Jacques scowls at the thought of a woman executing someone so young and old. He tries to rationalize his lack of experience with women during his time as a prison inmate; he has performed well in all but one of his 100 executions. However, he still has a lingering sense of unreality within him: ""That image and unreality still persisted, even after all the women who had come to him so willingly and left with that undefinable look of unhappiness deep in their eyes.""",NEGATIVE,"The bailiff from the Federal Bureau of Investigation (FBI) who was present at the time of the incident, was also arrested.\nThe bailiff was later released on bail.""}]",NEGATIVE
236,Oct 1-Novavey writes back with three lines:,NEGATIVE,"Oct 1-Novavey writes back with three lines: ""You are evidently as broken as ever / and rude & ungracious into the deal."" Dec. 31-Octavia notes that there must be more to life than meets the eye. Octo-Frijius ends up writing this piece after five years of being very poor. Octa-FriJius starts thinking about medicines and treatments and decides to take a walk so that he doesn't get dizzy or run out of the house.",NEGATIVE,"Oct -Novavey writes back with three lines: \""I'm sorry, I'm not going to respond to your message.\""\nI'm sorry, I'm not going to respond to your""}]",NEGATIVE
237,"It does, in fact, promise to prove",POSITIVE,"It does, in fact, promise to prove that humans can't make machines exactly alike because they don't have reason back. They're mechanical opposites--the mechanical parallel of the tiger, lurking in its jungle to leap on living prey. Dixon points out that these two robots are similar in appearance but differ in their behavior. In other words, they both have the same mind.",NEGATIVE,"It does, in fact, promise to prove to be a very good game.\nThe game is set in a world where the player takes on the role of a young man named Jack who has been sent""}]",POSITIVE
238,Tedric explains that he is trying to,NEGATIVE,"Tedric explains that he is trying to find a way to make high-alloy steel, using carburization instead of covalent steel. He wants to create a sword and armor just like his real foreman does, but only with a higher weight. In order to do so, he will have to cut off his head with his sword before he can communicate with anyone else. The smith refuses to give him the metal, saying it is too heavy and weak to be good enough to withstand an armed or armored mercenary force.",NEGATIVE,"Tedric explains that he is trying to get the other members of the band to join him in his quest to find the missing pieces of the puzzle.\nThe band members are all in different parts""}]",NEGATIVE
239,The Pornsens are dead last night.,NEGATIVE,"The Pornsens are dead last night. Farelli has been trampled by a giant saurian while trying to kill three colonists. As far as Farrel's health is concerned, it's going to take some time before he can figure out how to create a new world--one that will be green, warm, fertile, and crawling, leaping, hooting and snarling with ferocious beasts of every variety. His wife, Mary Pornsen, isn't interested in having children.",NEGATIVE,"The Pornsens are dead last night.\nI'm not sure what the point of this is. I'm not sure what the point of this is. I'm not sure what the""}]",NEGATIVE
240,The Blue Flower The narrator explains that,POSITIVE,"The Blue Flower The narrator explains that the stories in this book are all about the search for inward happiness. He uses a symbol from the old German poet, Novalis, to represent Poetry, the object of his young hero's quest. The narrator says that he began writing the stories because he wanted to be able to relate to people and see how they might be useful to others. He begins to realize that there are two ways to give unity to a book of stories: one is to stay in one place and write about different themes; or else to go into new places and use as many of the colors and shapes of life as possible.",POSITIVE,"The Blue Flower The narrator explains that the Blue Flower is a flower that is so beautiful that it can bring joy to even the darkest of days. The Blue Flower is a symbol of""}]",POSITIVE
241,He drops in at Tommos Head on,NEGATIVE,"He drops in at Tommos Head on Saturday nights and talks with the farmer there. Then he drops in again on Sunday afternoons. This time, however, he sees himself alone. All the other weavers have deserted their doors when they go from home, so it is hard for Sam to come to a point where he wants to make up with Bell.",NEGATIVE,"He drops in at Tommos Head on the way back to the car.\nI'm not sure if I've mentioned this before, but I've been having a bit of a problem""}]",NEGATIVE
242,"The next morning, when he wakes up,",NEGATIVE,"The next morning, when he wakes up, he finds himself standing on a vast plain surrounded by burning, smoldering city streets. He looks around at the other laborers who have been laboring alongside him in the ""rebelam area,"" which is now called the reclam area. Bergstrom tells him that if he wants to try another method of treatment, he must first undergo a series of three-in-a-situ treatments twice in one sitting. This time, however, it will be twice in a week.",NEGATIVE,"The next morning, when he wakes up, he finds that he has been replaced by a robot. The robot then informs him that he must find the other androids and bring them back to life.""}]",NEGATIVE
243,"When they arrive, however, they have destroyed",NEGATIVE,"When they arrive, however, they have destroyed all but one of the station's iceworms. Porthos crewmen scramble to land the mail ship so that it can be picked up by the Patrol--but there's no time to do that. As soon as the airlock is opened, Preston climbs aboard the postal ship and struggles through the melting snows to board the ship. He grabs a bunch of mail sacks and begins to pack them away when an official-looking man informs him that he will get word to the Patrol about what happened.",NEGATIVE,"When they arrive, however, they have destroyed the entire village, and the only survivor is a young girl named Lilly.\nLilly is taken to a nearby monastery, where she is""}]",NEGATIVE
244,"Other than that, no one else has",NEGATIVE,"Other than that, no one else has written any of the stories included in this volume. In fact, some of them have been rejected because they do not fit the style of the publication. No one editor or publisher would print these stories if they were not considered worthy of publication. They must instead rely on critical articles, editors, publishers, and literary agents who know how to write well and keep up with the latest developments in the genre.",NEGATIVE,"Other than that, no one else has any idea what's going on.\nThe only thing that's clear is that the mysterious stranger is not who he seems. He's a""}]",NEGATIVE
245,Bonnie comes home from school one day,POSITIVE,"Bonnie comes home from school one day and finds her brother Bob in the kitchen making a mess. He's doing something important when she runs into him. It turns out that his mom gave him some super-juicy stuff called ""Medicine"" to help him with his experiments. She also happens to have two chocolate graham crackers, which he promptly crushes into his concoction for ten cents.",NEGATIVE,"Bonnie comes home from school one day to find her mother dead in their home. The police believe that her father is the killer, but Bonnie is determined to find the real killer.""}]",POSITIVE
246,Malmoire explains that he was once employed,NEGATIVE,"Malmoire explains that he was once employed by John Grimthorpe, one of the nine men condemned on Maloney's evidence after the murders at Bluemansdyke. When Maloney refuses to leave, the governor says that unless Maloney opens the door to his cell, he will have an action against him for illegal detention. This happens three months later when Maloney escapes.",NEGATIVE,"Malmoire explains that he was once employed by a large company that was selling a product that was not only ineffective, but also dangerous to the environment. He was fired for speaking out against""}]",NEGATIVE
247,"This chapter introduces Jose Obanion III, an",POSITIVE,"This chapter introduces Jose Obanion III, an embittered lawyer who works as a legal eagle in divorce law. He has a good office on the 150th floor of the Needle Building, a private visor service to the Municipal Law Library, and a lap-desk for his secretary, Thais Orlof. On the day before Tremmy Jessup and Gleda Warick are scheduled to sign their divorce contracts, he decides to catch Thais early in order to help her prepare for work. After watching a Pancho commercial, he realizes that there is something wrong with his own Party.",POSITIVE,"This chapter introduces Jose Obanion III, an American who has been living in Spain for over 30 years. He is a retired professor of philosophy and a member of the Spanish branch of the American Philosoph""}]",POSITIVE
248,They'll have a better chance of catching,NEGATIVE,"They'll have a better chance of catching General Rudolph at the election. Selene says she wants carpets and chairs and pillows so she can talk to him. When Reuben opens his eyes, there's no one there. There's just a naked man who appears to be Selene.",NEGATIVE,"They'll have a better chance of catching the eye of a potential partner.\nIf you're looking for a more serious relationship, you might want to focus on your personality traits and interests""}]",NEGATIVE
249,His job consisted mostly of begging people,NEGATIVE,"His job consisted mostly of begging people for a job and pestering Carleton, the division engineer, and Tommy Regan. Every time that anyone in authority called him ""Toddles,"" he would scowle and drop coins into his pocket. It was during this period that Bob Donkin, the night despatcher at the station, presented Toddles with a lead quarter, which he bit on when he tried to change the bill. This incident further cemented the dislike between the boy and Hawkeye.",NEGATIVE,"His job consisted mostly of begging people to give him money. He was a very greedy person. He would beg people to give him money and he would take it. He would beg people to""}]",NEGATIVE
250,They comment on how dull it is,NEGATIVE,"They comment on how dull it is compared to the ""Carnival at Nice"" , but Van Dam does not seem to have much interest in anything other than street flirtation. He finds himself drifting along Canal Street alone in a densely packed crowd of merrymakers. A masked woman chucks him under the chin; her companion showered him with confetti. A laughing Pierrot whacks him with a noisy bladder; boys and girls in ragged disguises importuned him for pennies.",NEGATIVE,"They comment on how dull it is to be a human being.\nThe film is a commentary on the nature of reality and the human condition. It is a commentary on the nature of""}]",NEGATIVE
251,He looks at driftwood drifting lazily beneath,NEGATIVE,"He looks at driftwood drifting lazily beneath his feet as he falls down from the bridge into the stream below. His thoughts wander back to his wife and children who are still outside the line of fire. When he awakes, he can see that the soldiers have re-arranged the blockade around the bridge so that any civilian caught interfering with the railroad, its bridges, tunnels, or trains will be hanged. Pitying this injustice, he tries to free his hands but they tie him up and force him to the bottom of the stream.",NEGATIVE,"He looks at driftwood drifting lazily beneath the waves.\nThe sun is setting, and the sky is a deep shade of orange. The waves are crashing against the rocks, and the wind""}]",POSITIVE
252,He's only four years old when he,NEGATIVE,"He's only four years old when he dies. In fact, according to his obituary in 9734, Calk has been dead for almost nine years. The year is also the birthday of another science teacher named Silla. She's an anti-scientist, a musician, and a lover of music.",POSITIVE,"He's only four years old when he's sent to live with his Uncle Jack in the country. He's not sure what to expect, but he's sure it's going to""}]",POSITIVE
253,This is why he spends so much,NEGATIVE,"This is why he spends so much money on expensive clothes and decorating himself with extravagant extravagances. When all is new to him, what will you do to them? Why should they ever ask the advice of their neighbors as to its construction? If gilt were really gold, or sugar-candy common sense, what a fine society CarolYN WELLs describes as her favorite pastime.",NEGATIVE,"This is why he spends so much time in the desert.\nThe desert is a place of extremes. It is a place of heat, of cold, of sand, of water, of""}]",POSITIVE
254,.,POSITIVE,". Edith answers yes--it was an innate part of her personality. But there isn't a question asked by the coroner: ""Mr. Green did not kill him. This was the question I had wanted to avoid"" .",NEGATIVE,".return_value = \""foo\""\n    }\n\n    fn test_get_config_with_default_value_and_overwrite_with""}]",NEGATIVE
