id,context,input,output
236,"This publication was renewed. Minor spelling and typographical errors have been corrected without note. The IDEAL This is my Automaton, who at the proper time will speak, answer any question I may ask, and reveal all secret knowledge to me."" He smiled as he laid his hand affectionately on the iron skull that topped the pedestal of the statue of Draco. One day, Van Manderpootz shows Dixon a grinning robot which promises to be an automobile. Dixon asks what this ""adventure"" has to do with it. ","It does, in fact, promise to prove","It does, in fact, promise to prove that humans can't make machines exactly alike because they don't have reason back. They're mechanical opposites--the mechanical parallel of the tiger, lurking in its jungle to leap on living prey. Dixon points out that these two robots are similar in appearance but differ in their behavior. In other words, they both have the same mind."
237,"The Lomarrian ironmaster, Tedric, meets Sarpedion, the sacrifice god of Lomarr, in this story of science and swashbuckling adventure which marks the return of Doc Smith, author of the Skylark series, Lensman series, etc. Tedric wakes up to find Skandos lying on a green rock surrounded by ""a heap of green rock."" ",Tedric explains that he is trying to,"Tedric explains that he is trying to find a way to make high-alloy steel, using carburization instead of covalent steel. He wants to create a sword and armor just like his real foreman does, but only with a higher weight. In order to do so, he will have to cut off his head with his sword before he can communicate with anyone else. The smith refuses to give him the metal, saying it is too heavy and weak to be good enough to withstand an armed or armored mercenary force."
238,"Hugh Farrel, Chief Medical Officer of the Exodus VII, looks at Mary and her husband, Ralph. They are discussing whether or not they should have a child. Ralph says he doesn't see any reason for having a kid until they get this place ""ironed out and safe to live in"" . He also thinks about his own wife, Alice, who is one of the leaders of the ""no babies"" movement. She won't even let him kiss her goodnight. When he opens his eyes, he sees Mary and Ralph working together on a log with their equipment piled up on top of the operating table. ",The Pornsens are dead last night.,"The Pornsens are dead last night. Farelli has been trampled by a giant saurian while trying to kill three colonists. As far as Farrel's health is concerned, it's going to take some time before he can figure out how to create a new world--one that will be green, warm, fertile, and crawling, leaping, hooting and snarling with ferocious beasts of every variety. His wife, Mary Pornsen, isn't interested in having children."
239,,The Blue Flower The narrator explains that,"The Blue Flower The narrator explains that the stories in this book are all about the search for inward happiness. He uses a symbol from the old German poet, Novalis, to represent Poetry, the object of his young hero's quest. The narrator says that he began writing the stories because he wanted to be able to relate to people and see how they might be useful to others. He begins to realize that there are two ways to give unity to a book of stories: one is to stay in one place and write about different themes; or else to go into new places and use as many of the colors and shapes of life as possible."
240,"Crockett A Doctor of the Old School Ian Maclaren Wandering Willie’s Tale Sir Walter Scott The Glenmutchkin Railway Professor Aytoun Thrawn Janet R. L. Stevenson Sam'l Dickie is in love with Eppie Fargus, a weaver who lives next door to his father's hen-house. Sam has been courting Bell for a while, but he does not know how to get started. On Saturday evening, Sam walks into the town square and meets Eppsie at her house. She tells him that she can tell Bell that she will likely be in on Mununday or Teisday. Sam goes off to talk to the farmer about the rinderpest. ",He drops in at Tommos Head on,"He drops in at Tommos Head on Saturday nights and talks with the farmer there. Then he drops in again on Sunday afternoons. This time, however, he sees himself alone. All the other weavers have deserted their doors when they go from home, so it is hard for Sam to come to a point where he wants to make up with Bell."
241,"""Extensive research did not uncover any evidence that the | U.S. copyright on this publication was renewed."" In St. Martin's, a doctor named Milton Bergstrom and his psychoanalyst Milton Zarwell are talking as they go down an escalator to the second floor of a dilapidated building. They grab him by the jacket and slam him back against the lockers. ","The next morning, when he wakes up,","The next morning, when he wakes up, he finds himself standing on a vast plain surrounded by burning, smoldering city streets. He looks around at the other laborers who have been laboring alongside him in the ""rebelam area,"" which is now called the reclam area. Bergstrom tells him that if he wants to try another method of treatment, he must first undergo a series of three-in-a-situ treatments twice in one sitting. This time, however, it will be twice in a week."
242,"Preston gets into a patrol ship called Postal Ship, and when he looks at his reflection in the mirror, he realizes that he has been fired from the Space Patrol Service and transferred to Postal Delivery. He is disgusted with himself for being ""wiped up"" during his first day on the job; he wants to get back to his old glory of ferrying letters to Ganymede. The postal ship sends him out to intercept pirate ships headed for Earth. ","When they arrive, however, they have destroyed","When they arrive, however, they have destroyed all but one of the station's iceworms. Porthos crewmen scramble to land the mail ship so that it can be picked up by the Patrol--but there's no time to do that. As soon as the airlock is opened, Preston climbs aboard the postal ship and struggles through the melting snows to board the ship. He grabs a bunch of mail sacks and begins to pack them away when an official-looking man informs him that he will get word to the Patrol about what happened."
243,"This is the 100th edition of the All-Story Weekly, a collection of short stories published in American periodicals during the year 1918-1919. The stories are alphabetical by author. Henry Seidel Canby has written two books on this subject, entitled The Best War Stories of 1918 and The Worst Short Stories of 1917. ","Other than that, no one else has","Other than that, no one else has written any of the stories included in this volume. In fact, some of them have been rejected because they do not fit the style of the publication. No one editor or publisher would print these stories if they were not considered worthy of publication. They must instead rely on critical articles, editors, publishers, and literary agents who know how to write well and keep up with the latest developments in the genre."
244,,Bonnie comes home from school one day,"Bonnie comes home from school one day and finds her brother Bob in the kitchen making a mess. He's doing something important when she runs into him. It turns out that his mom gave him some super-juicy stuff called ""Medicine"" to help him with his experiments. She also happens to have two chocolate graham crackers, which he promptly crushes into his concoction for ten cents."
245,"The warder tells Maloney that he is a walking drug-shop owner and murderer. Maloney, on the other hand, has a reputation as a recovering ruffian who can make an excuse for doing more work. The governor of New Zealand visits Maloney to see if he will be allowed to leave Dunedin. He does not want Maloney out; rather, he wants Maloney sent back to Australia in order to get him out of Dunedin without being arrested or convicted by the authorities. ",Malmoire explains that he was once employed,"Malmoire explains that he was once employed by John Grimthorpe, one of the nine men condemned on Maloney's evidence after the murders at Bluemansdyke. When Maloney refuses to leave, the governor says that unless Maloney opens the door to his cell, he will have an action against him for illegal detention. This happens three months later when Maloney escapes."
246,,"This chapter introduces Jose Obanion III, an","This chapter introduces Jose Obanion III, an embittered lawyer who works as a legal eagle in divorce law. He has a good office on the 150th floor of the Needle Building, a private visor service to the Municipal Law Library, and a lap-desk for his secretary, Thais Orlof. On the day before Tremmy Jessup and Gleda Warick are scheduled to sign their divorce contracts, he decides to catch Thais early in order to help her prepare for work. After watching a Pancho commercial, he realizes that there is something wrong with his own Party."
247,"Reuben, the eighty-third-level Atomist, recognizes something wrong when his binoculars go opaque. He turns them back on him and sees Selene waiting for him. She tells him that Griffin has been talking about him with Almon of the 80-ninth level. Reuben realizes that he is in love with Selene but wonders what she's up to. May asks Reuben if he'd like to stay with her while she goes off to find another room. The general informs Reuben that they need to move up from the eighty th to the eighty third. ",They'll have a better chance of catching,"They'll have a better chance of catching General Rudolph at the election. Selene says she wants carpets and chairs and pillows so she can talk to him. When Reuben opens his eyes, there's no one there. There's just a naked man who appears to be Selene."
248,"GEORGE H. DORAN COMPANY PRINTED IN THE UNITED STATES OF AMERICA TO CHARLES AG The Night OPERATOR The night conductor The railroad station in Big Cloud, Colorado Hawkeye nicknamed him Toddles. He was a newsboy who worked for the News Company from the East that had the concession of the railroad. ",His job consisted mostly of begging people,"His job consisted mostly of begging people for a job and pestering Carleton, the division engineer, and Tommy Regan. Every time that anyone in authority called him ""Toddles,"" he would scowle and drop coins into his pocket. It was during this period that Bob Donkin, the night despatcher at the station, presented Toddles with a lead quarter, which he bit on when he tried to change the bill. This incident further cemented the dislike between the boy and Hawkeye."
249,"The Cromwell Gardenia Rope The King sails off to New Orleans, where he is greeted by a large crowd of revelers. He meets Eleanor Banniman and the Bannimans as they watch him through the crowds. ",They comment on how dull it is,"They comment on how dull it is compared to the ""Carnival at Nice"" , but Van Dam does not seem to have much interest in anything other than street flirtation. He finds himself drifting along Canal Street alone in a densely packed crowd of merrymakers. A masked woman chucks him under the chin; her companion showered him with confetti. A laughing Pierrot whacks him with a noisy bladder; boys and girls in ragged disguises importuned him for pennies."
250,"Peyton Farquhar and his family are sitting on a bench near the entrance to his grounds when a soldier approaches them. The soldier is a Union Soldier dressed in uniform, with a fixed fixed fixed point on his forehead and a long, dark gray beard. ",He looks at driftwood drifting lazily beneath,"He looks at driftwood drifting lazily beneath his feet as he falls down from the bridge into the stream below. His thoughts wander back to his wife and children who are still outside the line of fire. When he awakes, he can see that the soldiers have re-arranged the blockade around the bridge so that any civilian caught interfering with the railroad, its bridges, tunnels, or trains will be hanged. Pitying this injustice, he tries to free his hands but they tie him up and force him to the bottom of the stream."
251,"Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.] Don't take your eye off music ... there is going to be a lot more to it than meets the ear! This first selection deals entirely with the Music Section of the Almanack. It's July 17, which marks the birth date of Timmis Calk, Lavoris II's science teacher. ",He's only four years old when he,"He's only four years old when he dies. In fact, according to his obituary in 9734, Calk has been dead for almost nine years. The year is also the birthday of another science teacher named Silla. She's an anti-scientist, a musician, and a lover of music."
252,"George Willimo Am CURTIS One of the most successful young men, CarolYN Webb, has two suitors: one who wants to build a fine, fine new house and the other who just wants to live in it. He asks everyone in turn for advice about how to build his house. The result is that when built, when completed, it is unsatisfactory, and for each Defect there is a Neighbor who said, ""Had you asked Me, I would have Warned you against that Error."" His friends give him the benefit of their Experiences and Opinions, and the only drawback is that he does not ask anyone else's advice regarding building his new house. ",This is why he spends so much,"This is why he spends so much money on expensive clothes and decorating himself with extravagant extravagances. When all is new to him, what will you do to them? Why should they ever ask the advice of their neighbors as to its construction? If gilt were really gold, or sugar-candy common sense, what a fine society CarolYN WELLs describes as her favorite pastime."
253,"The next morning, Edith wakes up to find Dr. Dudley Ballard lying in her room with his head bashed in and a stream of blood running across the large room. MacKinney and Art Mac Kinney are shocked not only by the fact that Ballard is dead but also because he has left an important piece of equipment on top of Edith late yesterday afternoon. The security agents decide to wake Edith up and feed the tapes into her so that she will be able to tell them who killed Ballard. They ask one of the security agents if this was an outside job, and he says no, it was an inside job. Then they turn Edith on and start feeding the tapes back into her. It turns out that Edith saw the murder happen three days earlier. She had been working on some space station stuff when Mr. Green showed up at the scene. This makes Edith even more determined to confront the killer. In order to clear up any misunderstandings about Edith's role in the murder, the coroner asks Edith the question ""Do you know who murdered Dr. Ballard?"" ",.,". Edith answers yes--it was an innate part of her personality. But there isn't a question asked by the coroner: ""Mr. Green did not kill him. This was the question I had wanted to avoid"" ."
254,"Conn Maxwell stands at the observation deck of Litchfield, dreading the day he will have to tell his parents and siblings what has happened. The ship's first mate informs him that they will be docking at a midship gangway on the second-of-thirteenth-century ship called ""Litchfield"" . He is surprised to learn that this is the ship's home port; it was built in the middle of the seventeenth century after the Civil War ended. ",Conn looks down at the valley from,"Conn looks down at the valley from which he had come five years ago. It is now green with new foliage and the wine-melon fields are in pink blossom. On the ship, Conn sees his father, Rodney Maxwell, and sister Flora along with their mayor, Kurt Fawzi, and Mayor Lynne. They all seem cordial and happy."
255,"""The Odds Without Prejudice Her Own Free Will The Consolation Prize Her Freedom Death's Property The Sacrifice Other Books By Ethel M. Dell The Odds When Jack Burton returns home from Australia, he tells Dot that he is sick of his job as a policeman. He wants her to go into business in a town where she can do what she likes and not worry about being followed. She goes out to feed lambs but does not want to come back because Fletcher Hill is watching over the cattle-thieves. Instead, she asks Jack if he would shoot them if they caught one of them. Jack replies that he would rather shoot them than let them catch ""a dozen men all on the track of one. But somehow Dot feels curiously prejudiced against him. She hopes that this astute Inspector of Police will not be his captor. ","While Jack is gone, Dot sits down","While Jack is gone, Dot sits down to work on a lamppost with Robin. She has been bitten by a rattlesnake during her time at the farmhouse. It was very painful for her, but she manages to get it under control without having to resort to drastic measures."
256,,The Woman Who Tried to Be Good,"The Woman Who Tried to Be Good [1913] Before she tried to be a good woman she had been a very bad woman. She owned the house with the closed shutters near the freight depot, Blanche Devine owned Snooky, and Alderman Mooney stopped by to see if he could fix the problem. No one was able to fix it, but three of the four protesting husbands did. They were the Very Young Husband and his Very Young Wife; they were the joint owners of Snooky."
257,"Doctor Henry Harris goes to visit Westerburg, who is recovering from a jet blast. Doctor Harris asks him why he thinks he's a plant. Westerburg explains that he was born in Detroit and had measles when he was nine. He ended up working as a Patrolman on an Asteroid Y-3 called the ""Asteroid X-3"" until he was injured in a crash. When asked how he does it, Westerburg responds by saying that he can't sit in the sun all day. ",This surprises Doctor Harris so much that,"This surprises Doctor Harris so much that he wonders if this is the beginning of the end. After thinking about it for a while, Doctor Harris decides to go talk to Westerburg. It turns out that Westerburg doesn't want to wake up after the sun sets--he just won't. The doctor then tells Dr. Harris that they need to find some way to get Westerburg to take cataleptic, which is a type of antiseptic that helps people sleep better during the day."
258,"Sally attends a party hosted by Mr. James Rand, an energetic young insurance broker who would make more money as a profession than Sally's husband. The guest list includes Frank Belknap Long, Tom Sawyer, and Jim Thorpe. ",Sally is overcome with love for her,"Sally is overcome with love for her son, whom she calls ""the calm man"" because he always seems to be looking out for her. He asks Sally if she will kiss him now if she wishes, and she says yes. Ten months later the first baby comes. Sally changes the curtains, buys new furniture, and buys some new furniture on installment plan."
259,"Penelope takes lessons from Margaret Gale, a gifted music teacher. Hester is forty now and has two boys and a girl of nine. She decides it is time to begin teaching Penelope how to play the piano. Her first lesson is a simple one, but after an hour she asks Hester if she can teach Penelope to play on the piano as well. ",It is at this time that Mrs.,"It is at this time that Mrs. Martin comes in to tell her that Penelope will soon be home from school. Afterward, Hester tells Penelope that there once was a little girl named Penelope who had no piano, no music lessons, and only a few hours of work each day. She longed for them so much that she even took piano lessons in school. When Penelope's mother learns about her daughter playing the piano, she bursts into tears and says that she does not know why--it must be because she didn't tell her when she was very, very poor."
260,"Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.] In October, Paul Lambrequin is about to leave his house when Ivo Darcy stops him and asks if he would like to model himself after him. Paul explains that he doesn't have two eyes, one nose and one mouth, but somehow they seem to be put together all wrong. He wants Ivo to offer him a position as a playwright or actor. ","When Paul refuses, Ivo tells him that","When Paul refuses, Ivo tells him that he'll take over the planet single-handed. After six weeks, the play is a smash hit. It's sold out for months before it even opens in New York."
261,"The Happy Prince and Other Tales by Charles Robinson New York: BRENTANO'S First published by David Nutt, May 1888 Reprinted January, 1889; February 1902; September, 1905; February 1907; March 1908; March 1910 Reset. With illustrations from Charles Robinson. Originally published in Great Britain By Hazell, Watson and Viney, Ld., London and Aylesbury. The narrator notes that many of the original pages have line drawings on the margin or otherwise throughout the text. In addition to the twelve full-color Plates , most pages have a line drawing either in the margins or surrounding the text as well. The Happy Prince has fallen in love with one of the Reed's daughters, Swallow. She is now engaged to a wealthy young man who lives in Egypt. ",Swallow tells him about his life in,"Swallow tells him about his life in the Palace of Sans-Souci, where he played with his companions in the garden and led the dance in the great hall. He also tells Swallow about an impoverished seamstress whose little boy is dying because of lack of food due to his mother's refusal to give him any water. After Swallow leaves, the happy prince asks if he can stay with him one night longer. Swallowed says yes."
262,"Pid and Ger prepare the ship for an invasion. Pid is in Optimum Pilot's Shape now, the most efficient of the four shapes alloted to the Pilot caste. Ger the Detector reads sixteen dials at once, reporting that no sign of alien activity. The ship moves slowly toward the surface of the mysterious green planet. It begins to melt. Plastic dissolved, metal crumpled . Pid feels suddenly helpless, watching his ship scuttle itself. ",He is a Pilot-of-the-Pilot caste.,"He is a Pilot-of-the-Pilot caste. His father had constructed the first Displacer , which allowed mass to be moved instantaneously between any two linked points. Now, colonization barely kept up with the mounting birthrate. New worlds were needed."
263,"Rikki-tikki, the mongoose, fights with death. He nearly drowns himself in bath tubs, put his nose into ink on a writing table, and burnt it on the end of the big man's cigar. When he is defeated, he attacks Darzee, the tailor-bird's wife, who tries to stop him from eating her husband's dead baby. ",The only thing that saves Teddy from,"The only thing that saves Teddy from death is a bite from a cobra. In order to protect Teddy, however, he kills one of Nag's snakes. At dinner, Teddy's mother and father tell him what to do if he runs into white men. After dinner, they all leave for their respective homes."
264,"Pop Ganlon, a former crewman of the Patrol named John Kane, is on his way to Ley's Landing with Pop and Kane aboard the cargo ship, The Luck. When they arrive in Yakki, Kane tells Pop that he wants to get off Mars--out to Callisto. To Blackwater. To Ley's landing. It was only a job, he told himself at the time, but it had become a habit for Pop, even if living had ended. He watched his passenger, ""a killer"" who thrives and grows fat on the frontiers. In fact, this is what Pop wanted to do when he was a young man back in the days before Star Trek: Discovery. His life was over after that. ","Now, though, as an old man, he","Now, though, as an old man, he doesn't care much about money anymore. He just wants to be able to make some more money. That night, however, there is a loud crash sound from the launchwheel of the Luck; it is time to turn 'The Luck' over to the Patrol. This will be their turning-over point."
265,"The Professor explains that he was a stoker on a lakeboat back in the day. He liked to think, so he would go to libraries and buy books on philosophy, metaphysics, science, even religion. He would read them and try to figure out the world. He decided forty years ago that there was no honest-to-God response in people. They were machines. The fighters were machines made for fighting. The people that watched them were machines for stamping and screaming and swearing. The bankers had banking cogs in their bellies, the crooks had crooked cams. A woman was just a loving machine, all nicely adjusted to give you a good time. She might decide she wanted to fight. But if you started doing something else, then the others wouldn't respond. So they just went on doing what was called for. The Professor concludes by saying that this is why there is no honest God response in humans. People are machines set to do a certain job and then quietly rust away. ",If you kept on being the machine,"If you kept on being the machine you were supposed to be, well and good. Then your actions fitted with other people's. That was how guys started calling me the Professor. I like to think."
266,"R. Millsar and ClauDE Pridmore explains to Matilda that she has been taken to her Great-aunt Willoughby's, where she is expected to learn lessons and be asked many questions. Matilda knows exactly what the questions will be: How much money have you got, and whether she had been a good girl. She also knows how to write down all the answers in order to get an answer from one of her aunts next time she asks a question about her lessons. When Matilda gets home, she realizes that she must have taken the wrong omnibus because it was Streatham Common. At first, Matilda feels uncomfortable, but then she gradually relaxes until she bursts into tears. ",A little boy comes up to them,"A little boy comes up to them and tells them that he is the Prime Minister. He says that if they don’t give over their pennies, his pet Cockatoucan will die or be stolen. The Princess shows Matilda around the flower garden and plays games with her while she looks at everything. There is a large bird chained to a perch in the middle of a large rose garden, and Matilda admires everything very much."
267,"Bill Farnum and Jack Bates want to get back to Earth. They toss a coin for each other, thinking that they'll make some money off the trip. The ship pulls itself into the ""empty of Limbo as the stars winked out."" With two trained men working as a team with the computer and the elaborate engine room controls, the ship dives into the emptiness of Limb as the sun begins to rise. It's time to head home. Farnum says he doesn't want to risk bad luck--it's too much of a good thing . Farnum points out that there's no use setting up an empire if it won't last long. He wants his kids to have their chances at catching the top of the heap too. Bill thinks this is a silly question, but Farnum counters: ""I think you've got it backwards. ","If they hate us, we can probably","If they hate us, we can probably get away before they bring up their big artillery. But what if they love us? They might want to keep us beside them forever"" . Sounds like a fun game to us."
268,"""Now, then! What seems to be the trouble?"" Wheatley had been palpitating for five days straight at the prospect of coming here. ""I know it's silly,"" he says. ""But I've been having a pain in my toe."" ""My dear fellow!"" ""Your toe is part of you. It doesn't just exist down there all by itself. ","If your toe hurts, there must be","If your toe hurts, there must be a reason. There's nothing to worry about except treating symptoms. Medieval quackery. Medicine has advanced a long way since his last checkup."
269,"Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed. [Illustration] Illustrated by van Dongen The I-A section chief of Investigation and Adjustment, Stetson, scolds Orne for refusing to use another field man because of the Delphinus records; Orne explains that ComGO expects to blast the planet anyway. A call bell rings signaling that new orders have been issued for a recon mission to Gienah III. It is Hal Orne, junior field man with a maiden diploma, who has been assigned to watch over Orne's side of the ship. He says they need more time to brief Orne before they decide whether or not he should be allowed out of the assignment. Stetsons uniform changes from blue to white. Orne asks him why he is wearing an ugly uniform: it is an R&R uni. ","Stetons response: ""But this is an offensive","Stetons response: ""But this is an offensive culture. That language you were force fed on the way over, that�s an alien language. It’s not complete all we have off the minis. And we excluded data on the natives because we wanted to dump this project and nobody the wiser."
270,"Panting, Phildee climbs up the loft of Riya's feed-house. He looks out over the farm and wonders if there is someone else like himself like himself in this world. Spring arrives, and it is time for springtime. Riya makes her way up the path to the new range. It is spring, and Time. Only she is alone. ",She decides to look at the figures,"She decides to look at the figures of her people. They are a group of mostly older, herbivorous, ruminant, and mammalian. The first caress by Riya causes him to turn his attention from Alice down a rabbit hole to Riya, who begins teaching her calf how to eat grass. When Riya realizes that the calf is straying, she stops him and asks him to stay with her."
271,It was the awfullest dream in the world. It seemed to be the only dream there was. ,Agnes Schoenapfel tells Bascomb Swicegood that she,"Agnes Schoenapfel tells Bascomb Swicegood that she dreamed about rats in her stomachs and hair growing on the insides of her mouths. Bascomb is depressed for a while, but then he hears Teresa Ananias telling pieces of her own nightmare to Agnes. Later, Willy Wagoner reports that one doctor had five different patients who had dreams of rats in their stomachs as well as rat-hog-like conditions. The story ends with the conclusion that ""One world or the other will be the world of tomorrow."
272,"After dinner, the narrator unpacks his things and goes down to have luncheon. He looks at a letter that has been pinned to the wall just beneath the framed engraving of Queen Victoria's coronation. This is the first time he has ever seen an envelop eating its heart out in bondage on a letter-board. The narrator notes that these young bright envelopes always fascinate him. They seem sure they will soon be claimed by someone. For example, one week after arriving in Battersea, Victor Laider receives a mysterious letter from a woman whose name he does not know. ",She wants to know if she can,"She wants to know if she can write to him. A few days later, when Victor leaves for lunch, he finds himself sitting next to another convalescent whom he calls ""A Melbourne Man."" On the last evening of his stay at the hostel, Victor sees Laider reading a weekly review which he had bought the day before. When he enters the smoking room, Victor finds Laider engaged in a discussion of faith and reason."
273,"A ""JOHNNY MAYHEM ADVENTURE A PLACE IN THE SUN"" The crew of the Fomalhautian freighter, Glory of the Galaxy, receives an SOS message from the hub of the Galactic Federation. The message states that a dead body waiting for its arrival is on the way to Deneb--the fourth planet of the Denebian Solar System. The ship is bound for Sol, only twenty-four hours away. Captain Donnithorne wakes up in the middle of the night and decides to get some sleep. While he's awake, he sees Larry Grange, a member of the President's corps of bodyguards, sitting at a cabaret with his late twenties and crewcut blond hair. ",They have been hanging out together ever,"They have been hanging out together ever since they've been working together as Secret Servicemen. He tells her that if she doesn't calm down and tell him what's going on, there won't be anything to do about it. In other words, he's pretty drunk. But hey, who needs a drink when you can just sit still and not think about something else?"
274,"The girl with the golden red hair pointed at his breast pocket. ""This Droozle I must see,"" she says. ""And who's that other member of the partnership there beside him? An Eversharp pencil named Blackie?"" ""No, that is the other end of Droozles."" ",She introduces herself as Judy Stokes and,"She introduces herself as Judy Stokes and explains that her pet snake was stolen by Jean Lanni just before he graduated from art school. He had been working on a grand tour when he discovered ballpoint snakes were the main export of Coffin Two. From then on, he would only have one color of ink; he could use it in red or ochre to give him a rest. When they finally came to an agreement about writing fiction pleasing to both them and their master, they agreed not to allow Droozledle to write anything else until he figured out how to do it."
275,"In this chapter, we delve deeper into the background of August Strindberg and his life. He is nearing the age of forty-six when his mother dies. His mother had died sixteen years earlier. During her lifetime, he has known her personally for over sixteen years. Her death affected him beyond words. He mourns her deeply, and she always lived in his memory as the personification of all that was good and great and beautiful. In 1872, his father dies. ","The next day, he receives a letter","The next day, he receives a letter of thanks from the Berlin Academy of Sciences. When his mother passes away, he longs to tell his wife about his scientific success. However, he does not want to make friends with his son because they know each other too little. Instead, he decides to befriend his son."
276,"The Turkish Jeshter: A breeze, which pleasant stories bears, Relicks of long departed years. The Cogia Nasr Eddin Efendi is a religious person who goes on a fast during the holy month of Ramadan. He holds his fast for 30 days and then prepares an earthen pot with stones in it to hold his Beiram. He makes sure that every day he puts a stone into the pot so that he will be able to keep his watch. However, he does not know how many stones are in the pot each day. ",In order to comply with the people's,"In order to comply with the people's demands, he sets up a time-stampede pot where he waits until thirty days have passed before he can make his final judgment. This time, however, he wants to place himself in an old tomb. One of the boys of Belgrade takes the Cogias along as they prepare to go to the mosque to say their prayers. When they arrive at the Mosque, they find that there is no one there to answer their questions."
277,"It's amazing how much you can learn about absolute strangers if you just stop to think about the kind of an animal they'll put in a ... TEST ROCKET! By JACK DOUGLAS [Illustration: Cover] Captain Baird stands at the window of the laboratory where the thousand parts of the strange rocket lay strewn in careful order. He wants to ask Doctor Johannsen something, but something stops him. The doctor is sitting at his desk, gnarled old hand tight about a whiskey bottle, the doctor always had in his desk but never brought out except when he was alone, and waited for Captain Baird to ask his question. ""They are our markings,"" the doctor says, ""identical. ","But not our paint.""","But not our paint."" Six months have passed since the launch of the first test rocket. Three more test rockets have been fired successfully before the urgent call from Central Control brings the captain back to the Rocket Testing Station. A few weeks later, the mission report comes through from Alaskan Observation Post No."
278,"The Doll's Playhouse Martha discovers a black wooden chest that Uncle Walter had sent over from Italy years ago. Martha decides to dust it up and put it in order, but when she opens the back door, she finds three men--Beni, Beni, and Martha--who are all dressed in very different ways. They tell her that they are Italian bandits who have been living in Chicago since before Martha was born. Martha tells them that she is on Prairie avenue in Chicago because Uncle Walter sent her there as a traveling trunk. The three of them go into the attic to search for their treasure. Martha realizes that this treasure belongs to one of Uncle Walter's African-American brothers, whom she now calls ""Bandits."" She goes downstairs to find the three remaining American bandits: Beni explains that his father is a lawyer; Beni says he will help Martha get rid of her troublesome band of enemies; Martha adds that she would rather die than be tortured by an American family. Finally, the three return to the doll's playhouse where Martha sits with her mother and two other friends. Martha climbs down the stairs to open the chest. It is full of boxes, trunks, and discarded clothing. In the middle of the night, Martha hears the music of the carol choruses signaling the arrival of the police. When Martha reaches the top of the stairs, she sees the police officers waiting for her at the bottom of the stairway. Martha rushes out to greet them, saying that she wants to thank them for saving her life. Martha asks if they are her friends, and they reply that they adore her. ",Martha tries to squeeze down the side,Martha tries to squeeze down the side of the chest so the cops won't see her. But the chest seems rather small. Martha grabs hold of the lid and squeezes down through the hole in the chest like a little girl playing with her doll's doll's toys. Martha puts her hand on the lid to let the box fall to the ground without being hit.
279,"We recommend it highly._ Professor Carbonic is diligently at work in his spacious laboratory, analyzing, mixing and experimenting. He hires a servant named Maggie Nesia to bring him three dead rats that he has collected from the neighborhood. Carbonic makes no experiments on live animals; instead, he uses old Sally Soda's dead husband as an example. When Carbonic discovers that Sal Soda has fallen down two flights of stairs, he grabs the dead rat and holds it close to his face. The smell of the dead body convinces Carbonic that this is what ""Death no more!"" . Carbonic goes to the nearest hardware store where he buys tools for his new profession. At 3:30 P.M., Carbonic finds Sally sitting with her employer, who had sent for a doctor. She tells Carbonic she will be returning shortly. They go back to their home after lunch. In the evening, Carbonic searches for Sally, but she does not want to see him. Soon afterward, a strange man shows up at Carbonic's house. ",It turns out that Carbonic has just,"It turns out that Carbonic has just had a friend killed in an accident--he wants to know if anyone else has been able to help lift the dead man back to health. Carbonics explains that they are using electric current to induce brain cells to produce electricity. After Carbonic gives the man a hypodermic needle , he sews a hole through the skull of the deceased man, inserting a gimlet into the victim's skull, and then plunging a lethal dose of 100-25 cents into the professor's brain. There's a brief thud as both bodies strike the floor."
280,,"The next day, Leo goes to the","The next day, Leo goes to the Baxter house to find Calvin's body. When he arrives, he finds Calvin lying on the floor with a hole in his forehead. He explains that Calvin had fallen and was hit by a piece of 16-gauge wire. There is no pulse or breath coming from Calvin, but there is a smear of blood on Calvin's forehead."
281,"No mortal had ever seen the Martians, but they had heard their whispers--without knowing the terrible secret they kept hidden. ",In every man there is a slumbering,"In every man there is a slumbering giant. When life roars about you on a world that's rugged and new, you've got to go on respecting the lads who have thrown in their lot with you, even when their impulses are as harsh as the glint of sunlight on a desert-polished tombstone. Daybreak on Mars is like nothing you've ever dreamed about. You wake up in the morning, and there it is -bright and clear and shining."
282,"Henry Bemis is down in the Eastside Bank & Trust vault one day. He's trying to read a newspaper when suddenly, all of a sudden, he hears someone say ""Henrrreee."" Henry realizes that Mr. Carsville has died and everyone at the bank is dead except for his wife, Agnes who owns the bank. ",Henry starts to worry about Agnes because,"Henry starts to worry about Agnes because she's always such a good wife. But then...he remembers Agnes. Suddenly, something terrible happens. The bank collapses on itself."
283,,But--what if these human foibles are deliberately,"But--what if these human foibles are deliberately being exploited? Dr. Clayton turns to young Corelli and tells him that he saw three "" Martian"" ships floating in the sky. He says they looked like saucers skimming across the water, but no one could see them because of the size of their antennae-like feelers. They all agree on the fact that they saw three large, alien-looking objects floating down near the ground."
